Taxon,FAD,LAD
Abajudon_kaayi,260,260
Abdalodon_diastematicus,259.1,254.14
Abdounodus_hamdii,61.7,59.2
Achaenodon_robustus,46.2,40.4
Achaenodon_uintensis,46.2,40.4
Aclistomycter_middletoni,40.4,33.9
Acotherulum_pumilum,38,33.9
Acristatherium_yanensis,125.45,122.46
Adalatherium_hui,70.6,66.043
Adapis_magnus,41.3,33.9
Adapis_parisiensis,41.3,33.9
Adelobasileus_cromptoni,237,227
Aegialodon_dawsoni,140.2,136.4
Aelurognathus_tigriceps,259.1,254.14
Aenigmadelphys_archeri,84.9,70.6
Aerosaurus_greenleeorum,303.7,295
Aerosaurus_wellesi,298.9,290.1
Afradapis_longicristatus,38,33.9
Aframonius_dieides,38,33.9
Agilodocodon_scansorius,164.7,161.2
Agriochoerus_antiquus,40.4,33.3
Ailuravus_macrurus,48.6,46
Akidnognathus_parvus,259.1,251.902
Akidolestes_cifelli,130,125.45
Albertatherium_primus,85.8,84.9
Albertatherium_secundus,85.8,84.9
Alcidedorbignya_inopinata,66,64.6
Alemoatherium_huebneri,237,227
Aleodon_brachyrhamphus,247.2,237
Aleodon_cromptoni,242,227
Aleodon_spp,247.2,227
Alierasaurus_ronchii,283.5,268.8
Allops_marshi,37.2,33.9
Allqokirus_australis,66,64.6
Alopecodon_priscus,265.1,259.1
Aloposaurus_sp_GPIT_RE_7124,254,254
Alostera_saskatchewanensis,70.6,66.043
Alphadon_eatoni,70.6,66
Alphadon_halleyi,86.3,70
Alrausuchus_tagax,272.5,265
Altacreodus_magnus,72.1,66
Alticonodon_lindoei,85.8,84.9
Alymlestes_kielanae,84.9,70.6
Ambilestes_cerberoides,66.043,63.3
Ambloctonus_hyaenoides,55.8,50.3
Ambloctonus_sinosus,55.8,50.3
Amblotherium_gracilis,155.7,145.5
Amblotherium_nanum,145.5,140.2
Amblotherium_pusillum,145,140.2
Ambolestes_zhoui,126,122.5
Ambondro_mahabo,167.7,164.7
Amphibetulimus_krasnolutskii,167.7,164.7
Amphidozotherium_cayluxi,38,28.4
Amphilestes_broderipii,167.7,164.7
Amphiperatherium_maximum,56,41.3
Amphitherium_prevostii,167.7,164.7
Amynodon_advenus,46.2,37.2
Anagalopsis_kansuensis,41.3,38
Anatoliadelphys_maasae,45,42
Anchistodelphys_archibaldi,84.9,70.6
Anchistodelphys_delicatus,94.3,89.3
Andescynodon_mendozensis,247.2,242
Andinodelphys_cochabambensis,66,64.6
Anebodon_luoi,125.45,122.46
Angelosaurus_dolani,272.95,268.8
Angelosaurus_greeni,272.95,268.8
Angelosaurus_romeri,272.95,268.8
Angonisaurus_cruickshanki,247.2,237
Anisonchus_athelas,66.043,63.3
Ankalagon_saurognathus,64.6,61.6
Annatherapsidus_petri,259.1,251.902
Anningia_megalops,265,259
Anomocephalus_africanus,265.1,259.1
Antecosuchus_ochevi,247.2,242
Anteosaurus_magnificus,265.1,259.1
Anthracobunodon_weigelti,47.8,41.3
Apataelurus_kayi,46.2,40.4
Apatemys_uintensis,46.2,40.4
Apsisaurus_witteri,295,283.5
Apternodus_baladontus,40.4,33.9
Arboroharamiya_allinhopsoni,161.2,155.7
Arboroharamiya_jenkinsi,167.7,150.8
Archaeomeryx_optatus,48.6,37.2
Archaeosyodon_praeventor,268.8,265.1
Archaeotherium_mortoni,37.2,33.3
Archaeothyris_florensis,315.2,307
Archaeovenator_hamiltonensis,303.7,298.9
Arctocyon_ferox,64.6,56.8
Arctocyon_montanensis,64.6,56.8
Arctocyon_primaevus,59.2,55.8
Arctognathus_curvimola,259.1,251.902
Arctops_willistoni,259.1,254.14
Arctotraversodon_plemmyridon,235,221.5
Ardynictis_captor,48.6,37.2
Arfia_shoshoniensis,55.8,48.6
Argentoconodon_fariasorum,180.1,168.4
Arguimus_khosbajari,125.45,99.7
Arsinoitherium_zitteli,33.9,23.03
Arundelconodon_hottoni,125.45,122.46
Asaphestera_platyris,320,304
Asfaltomylos_patagonicus,180.1,168.4
Asiatherium_reshetovi,78,72.1
Asioryctes_nemegetensis,76,70
Asioryctes_nemegtensis,76,70
Aspanlestes_aptap,93.9,86.5
Atokatheridium_boreni,122.46,109
Aulacephalodon_bainii,259.1,251.902
Aulolithomys_bounites,40.4,33.9
Auraria_urbana,66,64.6
Ausktribosphenos_nyktos,122.46,112.6
Australobarbarus_kotelnitshi,265,252.3
Australobarbarus_platycephalus,265,252.3
Australobarbarus_spp,265.1,254.14
Australosyodon_nyaphuli,268.8,265.1
Avitotherium_utahensis,84.9,70.6
Baioconodon_denverensis,66,64.6
Baioconodon_nordicus,66.043,63.3
Baldwinonus_dunkardensis,298.9,295
